2019-05-15 14:06:37 install libacl1:amd64 <none> 2.2.52-3build1
2019-05-15 14:06:37 status half-installed libacl1:amd64 2.2.52-3build1
2019-05-15 14:06:37 status unpacked libacl1:amd64 2.2.52-3build1
2019-05-15 14:06:37 status unpacked libacl1:amd64 2.2.52-3build1
2019-05-15 14:06:37 install libattr1:amd64 <none> 1:2.4.47-2build1
2019-05-15 14:06:37 status half-installed libattr1:amd64 1:2.4.47-2build1
2019-05-15 14:06:37 status unpacked libattr1:amd64 1:2.4.47-2build1
2019-05-15 14:06:37 status unpacked libattr1:amd64 1:2.4.47-2build1
2019-05-15 14:06:37 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 install libaudit1:amd64 <none> 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 status half-installed libaudit1:amd64 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 status unpacked libaudit1:amd64 1:2.8.2-1ubuntu1
2019-05-15 14:06:37 install libblkid1:amd64 <none> 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 status half-installed libblkid1:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 status unpacked libblkid1:amd64 2.31.1-0.4ubuntu3
2019-05-15 14:06:37 install libbz2-1.0:amd64 <none> 1.0.6-8.1
2019-05-15 14:06:37 status half-installed libbz2-1.0:amd64 1.0.6-8.1
2019-05-15 14:06:37 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2019-05-15 14:06:37 status unpacked libbz2-1.0:amd64 1.0.6-8.1
2019-05-15 14:06:37 install libc-bin:amd64 <none> 2.27-3ubuntu1
2019-05-15 14:06:37 status half-installed libc-bin:amd64 2.27-3ubuntu1
2019-05-15 14:06:37 status unpacked libc-bin:amd64 2.27-3ubuntu1
2019-05-15 14:06:37 status unpacked libc-bin:amd64 2.27-3ubuntu1
2019-05-15 14:06:37 upgrade libc6:amd64 2.27-3ubuntu1 2.27-3ubuntu1
2019-05-15 14:06:37 status half-configured libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:37 status unpacked libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:37 status half-installed libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:38 status half-installed libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:38 status unpacked libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:38 status unpacked libc6:amd64 2.27-3ubuntu1
2019-05-15 14:06:38 install libcap-ng0:amd64 <none> 0.7.7-3.1
2019-05-15 14:06:38 status half-installed libcap-ng0:amd64 0.7.7-3.1
2019-05-15 14:06:38 status unpacked libcap-ng0:amd64 0.7.7-3.1
2019-05-15 14:06:38 status unpacked libcap-ng0:amd64 0.7.7-3.1
2019-05-15 14:06:38 install libcom-err2:amd64 <none> 1.44.1-1
2019-05-15 14:06:38 status half-installed libcom-err2:amd64 1.44.1-1
2019-05-15 14:06:38 status unpacked libcom-err2:amd64 1.44.1-1
2019-05-15 14:06:38 status unpacked libcom-err2:amd64 1.44.1-1
2019-05-15 14:06:38 install libdb5.3:amd64 <none> 5.3.28-13.1ubuntu1
2019-05-15 14:06:38 status half-installed libdb5.3:amd64 5.3.28-13.1ubuntu1
2019-05-15 14:06:38 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2019-05-15 14:06:38 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2019-05-15 14:06:38 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2019-05-15 14:06:38 status half-installed libdebconfclient0:amd64 0.213ubuntu1
